ID,0,names
212,1,transition
213,1,transition
214,1,transition
215,1,transition
216,1,transition
217,1,transition
218,1,transition
219,1,transition
220,0,plateau
221,0,plateau
222,1,transition
223,0,plateau
224,0,plateau
225,0,plateau
226,1,transition
227,0,plateau
228,1,transition
229,0,plateau
230,1,transition
231,1,transition
232,1,transition
233,0,plateau
234,0,plateau
235,0,plateau
236,1,transition
237,0,plateau
238,0,plateau
239,0,plateau
240,0,plateau
241,0,plateau
242,0,plateau
243,0,plateau
244,1,transition
245,1,transition
246,1,transition
247,2,alpine
248,1,transition
249,1,transition
250,1,transition
251,1,transition
252,1,transition
253,1,transition
254,1,transition
255,1,transition
256,1,transition
257,1,transition
258,1,transition
259,1,transition
260,1,transition
261,1,transition
262,1,transition
263,1,transition
264,1,transition
265,2,alpine
266,1,transition
267,1,transition
268,1,transition
269,1,transition
270,1,transition
271,1,transition
272,1,transition
273,1,transition
274,1,transition
275,1,transition
276,1,transition
277,1,transition
278,1,transition
279,1,transition
280,1,transition
281,0,plateau
282,1,transition
283,0,plateau
284,0,plateau
285,0,plateau
286,0,plateau
287,0,plateau
288,0,plateau
289,0,plateau
290,0,plateau
291,0,plateau
292,0,plateau
293,0,plateau
294,1,transition
295,1,transition
296,1,transition
297,1,transition
298,1,transition
299,0,plateau
300,0,plateau
301,1,transition
302,1,transition
303,1,transition
304,1,transition
305,1,transition
306,1,transition
307,1,transition
308,1,transition
309,1,transition
310,0,plateau
311,0,plateau
312,0,plateau
313,0,plateau
314,0,plateau
315,0,plateau
316,0,plateau
317,0,plateau
318,1,transition
319,1,transition
320,1,transition
321,0,plateau
322,0,plateau
323,0,plateau
324,0,plateau
325,1,transition
326,1,transition
327,1,transition
328,1,transition
329,1,transition
330,1,transition
331,0,plateau
332,0,plateau
333,0,plateau
334,0,plateau
335,0,plateau
336,0,plateau
337,0,plateau
338,0,plateau
339,0,plateau
340,0,plateau
341,0,plateau
342,0,plateau
343,0,plateau
344,0,plateau
345,0,plateau
346,0,plateau
347,0,plateau
348,0,plateau
349,0,plateau
350,0,plateau
351,0,plateau
352,0,plateau
354,0,plateau
355,0,plateau
356,0,plateau
357,0,plateau
358,0,plateau
359,0,plateau
360,0,plateau
361,0,plateau
363,0,plateau
364,0,plateau
366,1,transition
367,1,transition
368,0,plateau
370,0,plateau
371,0,plateau
372,0,plateau
373,0,plateau
374,0,plateau
375,0,plateau
376,0,plateau
377,0,plateau
378,0,plateau
379,0,plateau
380,0,plateau
381,0,plateau
382,0,plateau
383,0,plateau
384,0,plateau
385,0,plateau
386,0,plateau
387,0,plateau
388,0,plateau
389,0,plateau
390,0,plateau
391,0,plateau
392,0,plateau
393,0,plateau
394,0,plateau
395,0,plateau
396,0,plateau
397,0,plateau
398,0,plateau
399,0,plateau
401,1,transition
402,1,transition
403,1,transition
404,1,transition
405,1,transition
406,0,plateau
407,0,plateau
408,0,plateau
409,0,plateau
410,0,plateau
411,0,plateau
412,0,plateau
413,0,plateau
414,0,plateau
415,0,plateau
416,0,plateau
422,0,plateau
423,0,plateau
426,0,plateau
428,0,plateau
429,0,plateau
430,0,plateau
431,0,plateau
432,0,plateau
433,0,plateau
434,0,plateau
435,0,plateau
436,0,plateau
437,0,plateau
438,0,plateau
439,0,plateau
440,0,plateau
441,0,plateau
442,0,plateau
443,0,plateau
444,0,plateau
445,0,plateau
446,0,plateau
447,0,plateau
448,0,plateau
449,0,plateau
450,0,plateau
451,0,plateau
452,0,plateau
453,1,transition
454,1,transition
455,0,plateau
456,0,plateau
457,0,plateau
458,0,plateau
459,0,plateau
460,0,plateau
461,0,plateau
462,0,plateau
463,0,plateau
464,0,plateau
465,0,plateau
466,0,plateau
467,0,plateau
468,0,plateau
469,0,plateau
470,0,plateau
471,2,alpine
472,1,transition
473,1,transition
474,1,transition
475,1,transition
476,2,alpine
477,2,alpine
478,2,alpine
479,1,transition
480,1,transition
481,1,transition
482,1,transition
483,1,transition
484,1,transition
485,1,transition
486,1,transition
487,1,transition
488,1,transition
489,1,transition
490,1,transition
491,1,transition
492,1,transition
493,1,transition
494,1,transition
495,1,transition
496,1,transition
497,1,transition
498,1,transition
499,1,transition
500,1,transition
501,1,transition
503,0,plateau
504,0,plateau
505,0,plateau
506,0,plateau
507,0,plateau
508,0,plateau
509,0,plateau
510,1,transition
511,0,plateau
512,0,plateau
513,0,plateau
514,0,plateau
515,0,plateau
516,0,plateau
517,0,plateau
518,0,plateau
519,0,plateau
520,0,plateau
521,0,plateau
523,0,plateau
524,1,transition
525,2,alpine
526,1,transition
527,1,transition
528,2,alpine
529,2,alpine
530,2,alpine
531,2,alpine
532,2,alpine
533,2,alpine
534,2,alpine
535,2,alpine
536,2,alpine
537,2,alpine
538,1,transition
539,2,alpine
540,1,transition
541,1,transition
542,2,alpine
543,2,alpine
544,1,transition
545,2,alpine
546,2,alpine
547,2,alpine
548,1,transition
549,2,alpine
550,1,transition
551,2,alpine
552,2,alpine
553,2,alpine
554,1,transition
555,1,transition
556,1,transition
557,1,transition
558,1,transition
559,1,transition
560,1,transition
561,0,plateau
562,0,plateau
563,0,plateau
564,1,transition
565,1,transition
566,1,transition
567,1,transition
568,1,transition
569,1,transition
570,1,transition
571,1,transition
572,1,transition
573,1,transition
574,1,transition
575,1,transition
576,1,transition
577,1,transition
578,0,plateau
579,1,transition
580,1,transition
581,1,transition
582,0,plateau
583,0,plateau
584,0,plateau
585,1,transition
586,1,transition
587,0,plateau
588,0,plateau
589,0,plateau
590,0,plateau
591,0,plateau
592,0,plateau
593,0,plateau
594,0,plateau
595,0,plateau
596,0,plateau
597,0,plateau
598,0,plateau
599,0,plateau
600,1,transition
601,0,plateau
602,0,plateau
603,1,transition
604,1,transition
605,0,plateau
606,0,plateau
607,0,plateau
608,0,plateau
609,0,plateau
610,0,plateau
611,0,plateau
612,0,plateau
613,0,plateau
614,0,plateau
615,0,plateau
616,0,plateau
617,0,plateau
618,1,transition
619,1,transition
620,0,plateau
621,1,transition
622,1,transition
623,1,transition
624,1,transition
625,1,transition
626,0,plateau
627,0,plateau
628,0,plateau
629,0,plateau
630,0,plateau
631,0,plateau
632,0,plateau
633,0,plateau
634,0,plateau
635,0,plateau
636,1,transition
637,0,plateau
638,0,plateau
639,0,plateau
640,1,transition
641,1,transition
642,1,transition
643,0,plateau
644,1,transition
645,1,transition
646,0,plateau
647,0,plateau
648,0,plateau
649,0,plateau
650,0,plateau
651,0,plateau
652,0,plateau
653,0,plateau
654,0,plateau
655,0,plateau
656,0,plateau
657,0,plateau
658,0,plateau
659,0,plateau
660,0,plateau
661,0,plateau
662,0,plateau
663,0,plateau
664,0,plateau
665,0,plateau
666,0,plateau
667,0,plateau
668,0,plateau
669,0,plateau
670,1,transition
671,0,plateau
672,0,plateau
673,0,plateau
674,0,plateau
675,1,transition
676,1,transition
677,1,transition
678,0,plateau
679,0,plateau
680,0,plateau
681,0,plateau
682,1,transition
683,1,transition
684,1,transition
685,1,transition
686,1,transition
687,1,transition
688,0,plateau
689,0,plateau
690,0,plateau
691,0,plateau
692,1,transition
693,1,transition
694,0,plateau
695,1,transition
696,0,plateau
697,0,plateau
698,0,plateau
699,0,plateau
700,0,plateau
701,0,plateau
702,0,plateau
703,0,plateau
704,0,plateau
705,0,plateau
706,0,plateau
707,0,plateau
708,0,plateau
709,0,plateau
710,1,transition
711,1,transition
712,0,plateau
713,0,plateau
714,0,plateau
715,1,transition
716,0,plateau
717,0,plateau
718,1,transition
719,0,plateau
720,0,plateau
721,1,transition
722,0,plateau
723,1,transition
724,0,plateau
725,1,transition
726,1,transition
728,0,plateau
729,1,transition
730,1,transition
731,1,transition
732,0,plateau
733,0,plateau
734,0,plateau
735,0,plateau
736,0,plateau
737,0,plateau
738,0,plateau
739,0,plateau
740,1,transition
741,0,plateau
742,0,plateau
743,0,plateau
744,0,plateau
746,0,plateau
747,0,plateau
748,0,plateau
749,0,plateau
750,0,plateau
751,0,plateau
752,1,transition
753,0,plateau
754,0,plateau
755,0,plateau
756,0,plateau
757,0,plateau
758,0,plateau
759,1,transition
760,0,plateau
761,0,plateau
762,0,plateau
763,0,plateau
764,0,plateau
766,0,plateau
767,0,plateau
768,0,plateau
769,0,plateau
770,0,plateau
771,1,transition
772,0,plateau
773,0,plateau
774,0,plateau
776,0,plateau
777,1,transition
778,0,plateau
779,0,plateau
780,0,plateau
782,0,plateau
783,0,plateau
784,0,plateau
785,1,transition
786,0,plateau
787,0,plateau
788,0,plateau
789,0,plateau
790,0,plateau
791,0,plateau
792,0,plateau
793,0,plateau
795,0,plateau
796,0,plateau
797,2,alpine
798,2,alpine
799,2,alpine
800,2,alpine
801,2,alpine
802,2,alpine
803,2,alpine
804,2,alpine
805,2,alpine
806,2,alpine
807,2,alpine
808,2,alpine
809,1,transition
810,1,transition
811,0,plateau
812,2,alpine
813,2,alpine
814,2,alpine
815,2,alpine
816,2,alpine
817,2,alpine
818,2,alpine
819,2,alpine
820,2,alpine
821,2,alpine
822,1,transition
823,1,transition
824,1,transition
825,1,transition
826,0,plateau
827,0,plateau
828,0,plateau
829,0,plateau
830,1,transition
831,0,plateau
832,0,plateau
833,0,plateau
834,0,plateau
835,0,plateau
836,0,plateau
837,0,plateau
838,0,plateau
839,0,plateau
840,0,plateau
841,0,plateau
842,0,plateau
843,0,plateau
844,0,plateau
845,0,plateau
846,0,plateau
847,0,plateau
848,0,plateau
849,0,plateau
850,0,plateau
851,0,plateau
852,0,plateau
853,0,plateau
854,0,plateau
855,0,plateau
856,0,plateau
857,0,plateau
858,0,plateau
859,0,plateau
860,0,plateau
861,0,plateau
862,0,plateau
863,0,plateau
864,0,plateau
865,0,plateau
866,0,plateau
867,0,plateau
868,0,plateau
869,0,plateau
870,0,plateau
871,0,plateau
872,0,plateau
873,0,plateau
874,0,plateau
875,0,plateau
876,0,plateau
877,0,plateau
878,0,plateau
879,0,plateau
880,0,plateau
881,0,plateau
882,0,plateau
